,show_filename_prefix,episode_filename_prefix,Podcast_name,Episode_name,Dominant_topic,Percent,Processed_text,Keywords,Duration of the episode,Publisher of the show,Description of the episode,rss_link
0,show_04nSDGOhSUfh3yg0Nqvub2,6R0r4pXmbZ2zcUdK3EBTg7,100% Sports ,"Episode 1: College football predictions, playoff expansion, and Heisman ",5,0.7889999747276306,,defense football game league mean play player season state team,42.0138,Ryan Glinski,"My cousin and I talk about our favorites to win each power 5 conference, win the Heisman, and our thoughts on playoff expansion.  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.  https://anchor.fm/app ",https://anchor.fm/s/526e38c/podcast/rss
1,show_6AWE4Ng9VEEaNKDAMda63k,6cSy8D9tqvT0KWXCujG5Fe,2 Dudes and a NES: A Nintendo Podcast,Gremlins 2: The New Batch,3,0.546999990940094,,character game level mario mean nintendo pokemon society super switch,84.98928333333333,Bit Brothers Network,What late night snack will the Dudes rate this game? Tune in to find out!  Brought to you by the Bit Brothers Network!  https://www.patreon.com/bitbros  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.  https://anchor.fm/app ,https://anchor.fm/s/b5cfc0/podcast/rss
2,show_63EPfkKiQTuAZFvGK8BgQY,3v2TS17vDgo1jIrvNfkuIv,605 Sports Under Review with Coach DeBeer,SDHSAA Executive Producer Dan Swartos,0,0.5180000066757202,,basketball card coach game high number player price school sport,36.81785,Brad D DeBeer,Dr. Dan Swartos and I discuss a variety of topics pertaining to SDHSAA. ,https://anchor.fm/s/faca38c/podcast/rss
3,show_63EPfkKiQTuAZFvGK8BgQY,7hJteIOkmkNaKJFGtJQWtO,605 Sports Under Review with Coach DeBeer,605 Sports Under Review w/Coach DeBeer Episode #7 Darin Tipton - SoDak 16 VB,2,0.45100000500679016,,city conference county district game north number patent state team,47.52283333333333,Brad D DeBeer,WOW!!! Great information as Darin Tipton from Adrenaline Fundraising/Adrenaline Volleyball joins me to breakdown SoDak 16 match-ups in all 3 classes of volleyball. ,https://anchor.fm/s/faca38c/podcast/rss
4,show_3J14gXn6e79CNcVntVxagq,3jbhjs3XQUHZLJE9mXAUmA,A Wrestling Gal,Women’s Evolution || #1,4,0.5669999718666077,,anyways japan main match mean night sure talent wrestlemania xpac,28.18321666666667,Ella Jay," In Episode 1 of A Wrestling Gal Podcast, I chat with up-and-coming interviewer & YouTuber Samira, while answering your questions! I also discuss my thoughts on an all-women's pay-per-view. Introducing you to a pro wrestling podcast from a female perspective.   ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.  https://anchor.fm/app  Support this podcast: https://anchor.fm/ella-jay0/support",https://anchor.fm/s/cc3d0f0/podcast/rss
5,show_7K9hJIPoyB9cttLTtwHnzi,0nosa5A2dHp6YhvQuRMI48,Advanced Sports Analytics Podcast,Episode 6: NFL Week 2 Thoughts,5,0.5699999928474426,,defense football game league mean play player season state team,38.53758333333333,Stewart Gibson,Stewart runs quickly through the Week 2 Sunday main slate position by position. TIMESTAMPS: (0:45) Quarterback; (15:03) Running Back; (25:56) Wide Receiver; (33:56) Tight End; (36:12) Defense/Special Teams ,https://anchor.fm/s/98a231c/podcast/rss
6,show_7K9hJIPoyB9cttLTtwHnzi,114OPZFfcitcd0SYANCXiM,Advanced Sports Analytics Podcast,Episode 4: British Open Primer,0,0.7789999842643738,,basketball card coach game high number player price school sport,40.23901666666666,Stewart Gibson,Brandon and Stewart break down the player field for the 2019 British Open at Royal Portrush. They discuss general daily fantasy golf strategies for attacking GPPs and highlight some compelling golfers on DraftKings. ,https://anchor.fm/s/98a231c/podcast/rss
7,show_7K9hJIPoyB9cttLTtwHnzi,3dv5LGUCTbvOeIPLFz2ptB,Advanced Sports Analytics Podcast,Episode 2: NBA Apps Walk Through,0,0.8050000071525574,,basketball card coach game high number player price school sport,71.46623333333334,Stewart Gibson,"With the season winding down, Stewart reviews ASA's fleet of NBA web applications. He discusses how to operate and interpret the apps and how to incorporate them in your day-to-day lineup construction. TIMESTAMPS: (3:20) Opponent vs. Position app, (15:26) Player Distributions app, (30:29) Heat Check app, (38:40) Inactive Pivot app, (48:55) ROI & Game Selection app, (1:05:30) DFS hard skills to practice. ",https://anchor.fm/s/98a231c/podcast/rss
8,show_7K9hJIPoyB9cttLTtwHnzi,78vH9adUMIbPRHhfvGIywi,Advanced Sports Analytics Podcast,Episode 3: MLB DFS Primer with Brandon Adams,0,0.7639999985694885,,basketball card coach game high number player price school sport,48.908183333333334,Stewart Gibson,"With baseball season on the horizon, Brandon Adams joins the podcast to share some DFS strategies for the upcoming MLB season. He talks stacking strategies, player metrics consideration, competitive landscape of MLB DFS contests, and much more. TIMESTAMPS: (3:20) General differences (and similarities) of MLB strategy, (7:02) MLB roster construction (14:11) hitter and pitcher stacking and counter-stacking strategies (23:23) sabermetrics and pitcher-types vs. hitter-types, (31:29) MLB daily process and competitive environment, (42:07) current and forthcoming MLB DFS quantitative content.  ",https://anchor.fm/s/98a231c/podcast/rss
9,show_7K9hJIPoyB9cttLTtwHnzi,7beTo4woTyNA610EQxSD9O,Advanced Sports Analytics Podcast,Episode 1: Introduction to ASA Audio,0,0.7620000243186951,,basketball card coach game high number player price school sport,39.58335,Stewart Gibson,"We started a podcast! That's right, ASA's completely digital tools and content are now supplemented with audio content. We hope that this will enhance your interaction and use of ASA's quantitative tools and approach. TIMESTAMPS: (3:40) general tournament strategy, (13:58) FanDuel's dropped score rule change, (16:30) retrospective review of 2/27 NBA slate, (33:45) discussion of future plans for the ASA Podcast. ",https://anchor.fm/s/98a231c/podcast/rss
10,show_7K9hJIPoyB9cttLTtwHnzi,7rAxRAgrYZu0DkAERSw2PT,Advanced Sports Analytics Podcast,Episode 5: NFL GPP Strategy + Week 1 Thoughts,0,0.7269999980926514,,basketball card coach game high number player price school sport,35.2344,Stewart Gibson,Brandon and Stewart kick off the 2019 NFL podcast season with a discussion of macro GPP strategies to consider through 2019 and an introduction to ASA's ever-expanding fleet of quantitative fantasy football tools and data. TIMESTAMPS: (1:05) Brandon's thoughts for GPP strategy for the year ahead; (22:47) Introduction to new ASA tools for the 2019 NFL season and some applications to Week 1 picks; (31:50) Positional ownership expectations. ,https://anchor.fm/s/98a231c/podcast/rss
11,show_60iTkafSXbOfrejfAVac6A,2w3RIxmAvQbw5lUJFqvYrx,After Twitch Ends,#3 What I Underestimated About Full Time Twitch,1,0.6029999852180481,,different head love mean money person place real sure thank,27.9844,Stevo,The busiest people are the ones who can always fit more in. Tunes. The Spinners - I’ll Be Around Arctic Monkeys - Four Out Of Five Lee Burridge - Robot Heart - Burning Man 2017 Recommended Streamers. Jordyx3 PhantomAce Social. Twitter Twitch Instagram  ,https://anchor.fm/s/9b8c758/podcast/rss
12,show_60iTkafSXbOfrejfAVac6A,4OunBfdj5DlysuPBzwWUAg,After Twitch Ends,#4 Trolls And Branding,1,0.546999990940094,,different head love mean money person place real sure thank,21.3508,Stevo,How important is a strong community branding? Best way to handle trolls and is it getting worse? Honest opinion on the twitch affiliate program and how did it affect twitch partners? Any tips on finding a balance between sharing your personal life with your community and keeping other aspects private? twitter.com/stevottv twitch.tv/stevo instagram.com/aftertwitchends instagram.com/twjstevens  Cheers.  ,https://anchor.fm/s/9b8c758/podcast/rss
13,show_60iTkafSXbOfrejfAVac6A,55VSNlyWMLQ6snINoDBlxi,After Twitch Ends,#1 The Body Of A Twitch Streamer,1,0.6399999856948853,,different head love mean money person place real sure thank,39.98166666666667,Stevo,"It's been a while... Stevo shares a lovely tipple with you while addressing some heavy questions about the Twitch broadcaster lifestyle. If there's interest in this content, then we will go to more lengths to create a better production quality in following episodes. twitter.com/stevottv  instagram.com/twjstevens  twitch.tv/stevo Regards.  ",https://anchor.fm/s/9b8c758/podcast/rss
14,show_60iTkafSXbOfrejfAVac6A,7hycMRL8uMFJYZQawbl9IC,After Twitch Ends,#2 Alaskan Salmon,1,0.5479999780654907,,different head love mean money person place real sure thank,30.5116,Stevo,"Thanks for all your interest in the podcast, we are moving forward with it. Here's the links discussed, if I missed anything, shoot me a message. Cheers. HEALTH - NO GOD IN THUNDERDOME  The Soft Moon - The Pain Hall & Oates - Out Of Touch  Hall & Oates Live at Liberty Jimmy Fallon Hall & Oates  SOCIALS Twitter  Insta Twitch ",https://anchor.fm/s/9b8c758/podcast/rss
15,show_60iBvHxjGQ43QX5UByY7VX,65g57dxKKcMwKe9ftZoS4X,Best Sports Blogs,Best Sports Blogs: The Best Sport Sites to Read,0,0.7170000076293945,,basketball card coach game high number player price school sport,2.5317,viven irem,Sport is one of those things that you’ll have to go a long way to find somebody that has no interest in. ,https://anchor.fm/s/1253df88/podcast/rss
16,show_7EyrXTPJ6ljpZAELD9lUiV,28327QBLdYKvE20p1FYmPN,Biased Opinion Sports Podcast,Biased Opinion Sports Podcast: #1,5,0.6930000185966492,,defense football game league mean play player season state team,31.30746666666667,Biased Opinion,"First episode previews Stanley Cup Final, takes a look into the Raptors-Bucks NBA ECF series, introduces Bonus Bias and much more. ",https://anchor.fm/s/b819cf4/podcast/rss
17,show_7EyrXTPJ6ljpZAELD9lUiV,2zq1KfjeiQZh2Ie60jVx9J,Biased Opinion Sports Podcast,Biased Opinion Sports Podcast: #2,5,0.8109999895095825,,defense football game league mean play player season state team,30.91815,Biased Opinion,"Recap of game 1 of the SCF, look into Raptors’ rise, analysis of the Greek Freak, World Series predictions, and much more ",https://anchor.fm/s/b819cf4/podcast/rss
18,show_3LT3QBnduJYP34ezA18Zwy,3rsJLPdcdQLQTCrdLZIvaJ,Bigbabyjonathan Sports podcast show ,We discuss all things Lakers with I got sources ,5,0.5720000267028809,,defense football game league mean play player season state team,5.554216666666667, Bigbabyjonathan ,We discuss all things Lakers with I got sources  ---   Send in a voice message: https://anchor.fm/bigbabyjonathan-soffel/message Support this podcast: https://anchor.fm/bigbabyjonathan-soffel/support,https://anchor.fm/s/6892d34/podcast/rss
19,show_6DH54UAFtw3sNvblyRvbVd,0wD6h5z9Cnt9weqtyxllvK,Black Dawgs Sports Podcast,Season 2 Bonus- Dog Scraps: A cut conversation about Kylin Hill's legacy at Mississippi State,5,0.5699999928474426,,defense football game league mean play player season state team,30.95905,Black Dawgs,"Facebook.com/blkdawgspodcast | Twitter.com/blkdawgspodcast. | Instagram.com/blkdawgspodcast  What happens when we're supposed to do a regular episode but the host's computer messes up? Hilarity ensues!!! If you actually listen to the podcast you know that Kylin Hill and his antics are an oft talked and divisive topic? Is a he a baller who makes the team better by his mere presence who Joe Moorhead under utilized or is he a whiny brat who fakes injuries and gets the bulk of his runs against FCS/Group of 5 schools? Who knows! However, you can bet your bottom dollar it's going to be fun listening to us debate it! ",https://anchor.fm/s/b7c58e8/podcast/rss
20,show_6DH54UAFtw3sNvblyRvbVd,2H5uuBlP4uka3wJNjNf9MP,Black Dawgs Sports Podcast,"USM Reaction- Our Thoughts On The Game, Tommy Stevens Second Start, Injuries to Kylin Hill and Tommy Touchdown, Freshman Performances and Toxic Masculinity",5,0.5659999847412109,,defense football game league mean play player season state team,39.579166666666666,Black Dawgs,Me and the guys decided to give you our thoughts on our 38-15 victory over USM. How did we feel about Tommy Stevens performance? Was the play that temporarily took Kylin Hill out of the game dirty? How did we feel about Garrett Shrader and the other freshmen's contributions? And will one of our contributor's been kicked off the show for perpetuating toxic masculinity? There's only one way to find out and that's to listen in!!!  ,https://anchor.fm/s/b7c58e8/podcast/rss
