,show_filename_prefix,episode_filename_prefix,Podcast_name,Episode_name,Dominant_topic,Percent,Processed_text,Keywords,Duration of the episode,Publisher of the show,Description of the episode,rss_link
242,show_3DDfEsKDIDrTlnPOiG4ZF4,1PyMVeMNho7WZRLUz9Fhq6,Sports Card Investor,"Prizm Basketball FOTL: Results, Reactions & $3K PROFIT IN 24 HOURS!",0,1.0,,basketball card coach game high number player price school sport,34.35188333333333,Sports Card Investor,"Monday was a big day in the hobby! Panini ran a ""modified"" dutch auction to sell 2019 Prizm Basketball 1st Off The Line (FOTL) boxes. It resulted in some really mad customers, but also an opportunity for investors to make a ton of profit. In this episode, I tell you how I made a $3k profit in 24 hours from flipping these boxes, and I give you insider results and reactions to everything that happened. CHAT WITH ME AND OTHER SPORTS CARD INVESTORS IN OUR FACEBOOK GROUP AND DISCORD CHAT SERVER! Go to https://www.sportscardinvestor.com and click ""Facebook Group"" or ""Discord Chat"" in the menu bar. ",https://anchor.fm/s/cd0e434/podcast/rss
261,show_3DDfEsKDIDrTlnPOiG4ZF4,45Md8nTykC2UjN0cmr4vQO,Sports Card Investor,Modern Sports Card Investing 101,0,1.0,,basketball card coach game high number player price school sport,52.77475,Sports Card Investor,"This is the perfect episode for new people in the hobby or collectors who are investing in modern sports cards for the first time. I cover many important things you need to know, such as the best brands of cards to invest in, the best way to buy investment cards, and the importance of graded cards. Share this with anyone who is new to the hobby or thinking about investing in sports cards! ** ONCE YOU WATCH, JOIN OUR FREE DISCORD CHAT SERVER TO ASK ANY QUESTIONS YOU MIGHT HAVE! Go to www.sportscardinvestor.com and click on the Discord Server link. ** ",https://anchor.fm/s/cd0e434/podcast/rss
272,show_3DDfEsKDIDrTlnPOiG4ZF4,6zKx8n9R2utY1o9k3dh9Fn,Sports Card Investor,20 Things New Sports Card Investors Must Know,0,1.0,,basketball card coach game high number player price school sport,30.2916,Sports Card Investor,"There are so many new investors and collectors getting into the hobby right now. It’s critical they understand the pitfalls that will await them. That’s what this episode is about. TO ENTER THE CONTEST GO TO: https://www.sportscardinvestor.com/sports-card-investor-contest/   STOCKX.COM PROMO CODE: SCIPOD - Gives you $10 off any $50+ sports card purchase!   CHAT WITH ME AND OTHER SPORTS CARD INVESTORS IN OUR FACEBOOK GROUP AND DISCORD CHAT SERVER! Go to https://www.sportscardinvestor.com and click ""Facebook Group"" or ""Discord Chat"" in the menu bar. ",https://anchor.fm/s/cd0e434/podcast/rss
333,show_5TrYxUrvDMhZVEiLAw0ckm,2oZXCrxiDA3HuIgl5EPtwj,The Fight Chase Muay Thai & MMA Podcast,Self defense discussions!,1,0.9440000057220459,,different head love mean money person place real sure thank,83.88788333333333,Kelly Green/ Kurt Brooks,"In this episode, Kelly & Kurt talk about what they would do in real-life self-defense situations. No tough guy BS here but as 2 people that have trained for many years in multiple martial arts. What would they do and what would you do!? Listen and share it with your friends. Don't forget to support the podcast on the home page if you can so we can keep bringing you high quality and inspirational guests! Fight Chase Muay Thai & MMA Podcast Fight Chase on IG Fight Chase Website Fight Chase YouTube Fight Chase GEAR Carson Kickboxing Club   Carson Kickboxing Club on IG    ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.  https://anchor.fm/app  ---   Send in a voice message: https://anchor.fm/fightchase/message Support this podcast: https://anchor.fm/fightchase/support",https://anchor.fm/s/a7c80d0/podcast/rss
334,show_5TrYxUrvDMhZVEiLAw0ckm,2zQHsApS4Yfh9IaZM7d89c,The Fight Chase Muay Thai & MMA Podcast,DAVE LEDUC ( Lethwei World Champion ) part 1,1,0.9309999942779541,,different head love mean money person place real sure thank,78.9792,Kelly Green/ Kurt Brooks,"In this 2 part episode, Kelly & Kurt get to talk with none other than the King of Lethwei Dave Leduc. Dave is the face of modern-day Lethwei, the art of 9 limbs. We get to talk about the culture and martial art of Myanmar. Dave tells us of some very exciting things coming up this year for him and the sport of Lethwei! Another episode you will not want to miss. Fight Chase Muay Thai & MMA Podcast Fight Chase on IG Fight Chase Website Fight Chase YouTube Fight Chase GEAR Carson Kickboxing Club   Carson Kickboxing Club on IG  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.  https://anchor.fm/app  ---   Send in a voice message: https://anchor.fm/fightchase/message Support this podcast: https://anchor.fm/fightchase/support",https://anchor.fm/s/a7c80d0/podcast/rss
339,show_5TrYxUrvDMhZVEiLAw0ckm,74twOeX5N2bMwuUMFkogmC,The Fight Chase Muay Thai & MMA Podcast,Coming back from Thailand!!,1,0.9300000071525574,,different head love mean money person place real sure thank,50.98908333333333,Kelly Green/ Kurt Brooks,"In this episode Kelly and Kurt talk about some of the readjustments they go through after spending a long period of time in Thailand. The price of things the availability of food traffic and all other sorts of things  ** the first 10 min my mic was cutting out ,sorry about that but we clear it up!  If you want more exciting and interesting guests like this help us by going to our Anchor.fm/fightchase and hit that ""support this podcast"" button and help us out for as little as   $ .99  a month!!   https://www.instagram.com/fightchase/    https://www.instagram.com/carsonkickboxingclub/   http://fightchase.com/   https://www.youtube.com/fightchase    ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.  https://anchor.fm/app  ---   Send in a voice message: https://anchor.fm/fightchase/message Support this podcast: https://anchor.fm/fightchase/support",https://anchor.fm/s/a7c80d0/podcast/rss
303,show_51eQiEP7O1VEjmwQuF48dH,5I20T4rgc9xyfsT4m29ML3,Straight-Up Sports ,Missouri 8-Man Football Recap,2,0.9990000128746033,,city conference county district game north number patent state team,12.218733333333333,Devin Lynn Albertson,Devin gives his thoughts on Week 2 of the season.  ,https://anchor.fm/s/c4be3c4/podcast/rss
304,show_51eQiEP7O1VEjmwQuF48dH,5R0uCErbmlk183EcYwZ2k3,Straight-Up Sports ,Missouri 8-Man Recap,2,0.9990000128746033,,city conference county district game north number patent state team,18.51675,Devin Lynn Albertson,Enjoy and share! ,https://anchor.fm/s/c4be3c4/podcast/rss
302,show_51eQiEP7O1VEjmwQuF48dH,4DPX1ez01MCmovjIXt5V9P,Straight-Up Sports ,Week 4 8-Man Preview ,2,0.9819999933242798,,city conference county district game north number patent state team,25.99628333333333,Devin Lynn Albertson,"Week 4 is here, check it out.  ",https://anchor.fm/s/c4be3c4/podcast/rss
125,show_3D3mXSqcACUjWVbcvhyrMv,3rzYwCpWvNznc7pXAmwTLM,Nintendo Cartridge Society,2020 Predictions,3,1.0,,character game level mario mean nintendo pokemon society super switch,59.46553333333333,Campfire Media,Patrick and Mark summon a coven of Psychic type Pokemon to help them predict Nintendo's 2020. -- FRIEND US ON SWITCH Patrick: SW-1401-2882-4137 Mark: SW-8112-0583-0050 -- SHOW INFORMATION Twitter: @NinCartSociety Email: NintendoCartridgeSociety@gmail.com Subscribe: Apple Podcasts Subscribe: Spotify ,https://anchor.fm/s/9639ef4/podcast/rss
127,show_3D3mXSqcACUjWVbcvhyrMv,4BOFGSAxPo0ZZhRhP9n1hx,Nintendo Cartridge Society,"Determining ""The Year of..."" 2009-2019",3,1.0,,character game level mario mean nintendo pokemon society super switch,47.40546666666667,Campfire Media,"Using 2013's ""The Year of Luigi"" as their guidepost, Patrick and Mark definitvely determine what each year between 2009-2019 should be ""The Year of..."" -- FRIEND US ON SWITCH Patrick: SW-1401-2882-4137 Mark: SW-8112-0583-0050 -- SHOW INFORMATION Twitter: @NinCartSociety Email: NintendoCartridgeSociety@gmail.com Subscribe: Apple Podcasts Subscribe: Spotify ",https://anchor.fm/s/9639ef4/podcast/rss
117,show_3D3mXSqcACUjWVbcvhyrMv,3JyfmPbKcvxORapn1bJGst,Nintendo Cartridge Society,Super Mario Land 2: Six Golden Coins,3,1.0,,character game level mario mean nintendo pokemon society super switch,45.59891666666667,Campfire Media,Patrick and Mark dig into the Game Boy Classic: Super Mario Land 2. Why does Mario have a castle? Why is there a Wario? What do coins do in Mario games? Find out by playing and listening along! Friend us on Switch: Patrick is SW-1401-2882-4137 and Mark is SW-8112-0583-0050. ,https://anchor.fm/s/9639ef4/podcast/rss
423,show_0B7KWhBy5urJbKrwIQkqCO,6s9yAl4JivZEdoqR8sBkPn,X-Pac 12360 - A Wrestling Podcast,"X-Pac on Joining Hall of Fame, NXT Call-Ups and Elimination Chamber on X-Pac 12360 Ep. 127",4,0.6399999856948853,,anyways japan main match mean night sure talent wrestlemania xpac,65.74613333333333,AfterBuzz TV,"Sean and the team discuss his upcoming induction into the WWE Hall of Fame with DX at Wrestlemania 35, what NXT’s call-ups to the main roster mean, the Mark Henry Documentary, Elimination Chamber and more on today’s episode of X-Pac 12360!  About The Show: Sean “X-Pac” Waltman brings a podcast with a full circle look at life from outside the squared circle. Westwood One and the Jericho Network presents X-Pac 12360. X-Pac has many stories to tell that may help listeners relate, inspire them in their own lives, or just be entertained. And of course, there will be guests. So plan on seeing his group of usual suspects along with a mix of wrestlers, celebrities, and comedians. X-Pac has known and shared many road trips, locker rooms, and life moments with these guests. Where these conversations will go? No one knows, but we do know they will be entertaining.  With X-Pac, guests are just friends hanging out having a chat about old times and new frontiers. Listening to these conversations will make you feel like you are a fly on the locker room, green room, or bar wall.  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.  https://anchor.fm/app  Support this podcast: https://anchor.fm/x-pac-12360/support",https://anchor.fm/s/a8da0cc/podcast/rss
51,show_43dlbTEeOl98WvAPoSC6ik,2ouCktq5RgIrUg1DIQXRzl,GET CHO! Wrestling Podcast ,"GetCho! Ep. 38: LETS GO, It's that time of year SURVIVOR SERIES",4,0.6320000290870667,,anyways japan main match mean night sure talent wrestlemania xpac,79.12083333333334,GET CHO! Podcast ,"Lets GO!!!!! We talk about possible chance TESSA BLANCHARD as Impact World Champion.  Wait a minute, Jericho Vs Tanahashi is happening?  Luigi's trip to the Worlds Largest Starbucks.  Justin talks about what to watch, Toys That's Made Us Season 3, (Wrestling figures).  We break down AEW DYNAMITE: Nick Jackson Vs Rey Fenix (MOTY Nominee).  We talk about Scorpio Sky having AEW World title match.  Of course we talk about NXT.  Was that Takeover already?  We have a special guest Benji twitter @CalaveraComedy about his thoughts on Survivor Series.  What are we all expecting? What our favorites?  Last Call w/Luigi:  WWE Backstage ratings went up because of CM PUNK, WWE suing AEW.  Of course our Sweaty session, let us know what you think of our picks our Dream Survivor Series Team.   ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.  https://anchor.fm/app  ---   Send in a voice message: https://anchor.fm/Getchopodcast/message",https://anchor.fm/s/8aa2a64/podcast/rss
